date,accX,accY,accZ,gyrX,gyrY,gyrZ,p2p,posture,postureLbl
"2017-11-02 14:59:27 +0000",16756,-1756,2980,20,291,6,0,0,StandNok
"2017-11-02 14:59:27 +0000",15752,-1776,3412,45,584,206,0,0,StandNok
"2017-11-02 14:59:27 +0000",11000,-1372,4348,382,1017,201,0,0,StandNok
"2017-11-02 14:59:27 +0000",10704,56,7824,335,1071,168,0,0,StandNok
"2017-11-02 14:59:27 +0000",9252,732,7928,178,673,153,0,0,StandNok
"2017-11-02 14:59:27 +0000",9780,156,10180,-49,414,179,0,0,StandNok
"2017-11-02 14:59:27 +0000",9912,-944,13976,26,231,225,0,0,StandNok
"2017-11-02 14:59:27 +0000",20040,-1364,14196,-84,-374,36,0,0,StandNok
"2017-11-02 14:59:27 +0000",21300,-316,9424,108,-62,181,0,0,StandNok
"2017-11-02 14:59:27 +0000",13948,-116,5548,-107,-302,41,0,0,StandNok
"2017-11-02 14:59:28 +0000",14508,-1096,5840,-292,-349,168,0,0,StandNok
"2017-11-02 14:59:28 +0000",16936,-1880,8080,-125,-132,16,0,0,StandNok
"2017-11-02 14:59:28 +0000",16260,-1508,7216,-18,-58,3,0,0,StandNok
"2017-11-02 14:59:28 +0000",14032,-1152,7092,70,-34,38,0,0,StandNok
"2017-11-02 14:59:28 +0000",14756,-1044,7464,112,-31,57,0,0,StandNok
"2017-11-02 14:59:28 +0000",14924,-800,7736,71,25,27,0,0,StandNok
"2017-11-02 14:59:28 +0000",14444,-888,7600,34,21,29,0,0,StandNok
"2017-11-02 14:59:29 +0000",15364,-1196,6796,89,325,5,0,0,StandOk
"2017-11-02 14:59:30 +0000",15656,-1196,7184,120,547,238,0,0,StandOk
"2017-11-02 14:59:30 +0000",15248,-724,7940,126,701,197,0,0,StandOk
"2017-11-02 14:59:30 +0000",15140,-760,10916,-22,529,149,0,0,StandOk
"2017-11-02 14:59:30 +0000",16120,-120,16624,-248,649,96,0,0,StandOk
"2017-11-02 14:59:30 +0000",9852,-608,17456,36,525,211,0,0,StandOk
"2017-11-02 14:59:30 +0000",9504,672,16304,-38,-189,149,0,0,StandOk
"2017-11-02 14:59:30 +0000",9736,16,13060,-61,-764,224,0,0,StandOk
"2017-11-02 14:59:30 +0000",9644,-388,9644,-69,-1112,11,0,0,StandOk
"2017-11-02 14:59:30 +0000",8552,48,5280,-85,-1173,68,0,0,StandOk
"2017-11-02 14:59:30 +0000",11748,-1028,4660,-111,-1072,164,0,0,StandOk
"2017-11-02 14:59:31 +0000",16488,-1532,4808,-150,-600,191,0,0,StandOk
"2017-11-02 14:59:31 +0000",16056,-1700,4024,-28,-395,146,0,0,StandOk
"2017-11-02 14:59:31 +0000",16716,-1700,3896,10,-190,64,0,0,StandOk
"2017-11-02 14:59:32 +0000",16548,-2088,3536,61,5,23,0,0,StandNok
"2017-11-02 14:59:32 +0000",16288,-2064,3460,75,111,255,0,0,StandNok
"2017-11-02 14:59:32 +0000",15836,-1776,3712,53,246,226,0,0,StandNok
"2017-11-02 14:59:32 +0000",13640,-2024,3292,72,337,243,0,0,StandNok
"2017-11-02 14:59:33 +0000",12648,-1276,3496,223,627,253,0,0,StandNok
"2017-11-02 14:59:33 +0000",10964,-888,7056,166,935,132,0,0,StandNok
"2017-11-02 14:59:33 +0000",10508,-728,7676,82,678,177,0,0,StandNok
"2017-11-02 14:59:33 +0000",11548,20,11408,71,492,63,0,0,StandNok
"2017-11-02 14:59:33 +0000",10900,636,13492,104,-7,125,0,0,StandNok
"2017-11-02 14:59:33 +0000",21384,-656,10484,-267,-549,103,0,0,StandNok
"2017-11-02 14:59:33 +0000",20448,-1476,7260,-23,-133,98,0,0,StandNok
"2017-11-02 14:59:33 +0000",13840,-1540,4348,17,-272,17,0,0,StandNok
"2017-11-02 14:59:33 +0000",15864,-1288,4872,-54,-338,57,0,0,StandNok
"2017-11-02 14:59:33 +0000",18500,-1508,5980,55,-213,130,0,0,StandNok
"2017-11-02 14:59:34 +0000",16252,-1552,5596,93,-121,108,0,0,StandNok
"2017-11-02 14:59:34 +0000",14692,-1168,5220,97,-81,96,0,0,StandNok
"2017-11-02 14:59:34 +0000",15464,-1204,6008,63,31,55,0,0,StandNok
"2017-11-02 14:59:34 +0000",15744,-1332,6336,29,102,245,0,0,StandNok
"2017-11-02 14:59:35 +0000",16164,-1020,6024,-5,284,234,0,0,StandOk
"2017-11-02 14:59:35 +0000",16320,-1388,5792,24,466,200,0,0,StandOk
"2017-11-02 14:59:35 +0000",16148,-1380,6600,44,687,159,0,0,StandOk
"2017-11-02 14:59:35 +0000",15948,-1736,10256,-12,516,150,0,0,StandOk
"2017-11-02 14:59:36 +0000",15932,-564,14932,-76,587,72,0,0,StandOk
"2017-11-02 14:59:36 +0000",9964,152,15776,24,307,150,0,0,StandOk
"2017-11-02 14:59:36 +0000",11356,-200,13484,-111,-315,149,0,0,StandOk
"2017-11-02 14:59:36 +0000",11116,-192,10948,-14,-698,233,0,0,StandOk
"2017-11-02 14:59:36 +0000",10964,120,8160,-105,-858,50,0,0,StandOk
"2017-11-02 14:59:36 +0000",11728,-1048,6932,-191,-1038,88,0,0,StandOk
"2017-11-02 14:59:36 +0000",10908,-696,4712,-80,-925,136,0,0,StandOk
"2017-11-02 14:59:36 +0000",15432,-1224,3888,-9,-721,143,0,0,StandOk
"2017-11-02 14:59:36 +0000",16744,-1168,3388,-15,-428,85,0,0,StandOk
"2017-11-02 14:59:37 +0000",16588,-1216,3024,27,-267,25,0,0,StandOk
"2017-11-02 14:59:37 +0000",16576,-1140,2508,3,-102,26,0,0,StandOk
"2017-11-02 14:59:37 +0000",16832,-1244,2380,-52,-71,49,0,0,StandOk
"2017-11-02 14:59:37 +0000",16396,-1620,2320,-26,27,94,0,0,StandOk
"2017-11-02 14:59:37 +0000",16432,-1560,2180,40,-19,72,0,0,StandOk
"2017-11-02 14:59:37 +0000",16468,-1616,2356,5,17,57,0,0,StandOk
"2017-11-02 14:59:37 +0000",16420,-1920,2260,24,59,48,0,0,StandOk
"2017-11-02 14:59:37 +0000",16156,-1996,2428,0,29,16,0,0,StandOk
"2017-11-02 14:59:37 +0000",16392,-1892,2196,-9,4,247,0,0,StandOk
"2017-11-02 14:59:37 +0000",16304,-1968,2208,0,12,240,0,0,StandOk
"2017-11-02 14:59:38 +0000",16220,-1580,3308,7,159,227,0,0,StandNok
"2017-11-02 14:59:38 +0000",16156,-1336,3652,35,134,234,0,0,StandNok
"2017-11-02 14:59:39 +0000",16104,-1532,3832,42,114,221,0,0,StandNok
"2017-11-02 14:59:39 +0000",16140,-1336,4060,73,191,245,0,0,StandNok
"2017-11-02 14:59:39 +0000",15836,-1208,3848,115,384,5,0,0,StandNok
"2017-11-02 14:59:39 +0000",13688,-1392,3740,172,657,55,0,0,StandNok
"2017-11-02 14:59:39 +0000",10332,-980,4728,370,930,76,0,0,StandNok
"2017-11-02 14:59:39 +0000",8604,-208,7924,424,952,247,0,0,StandNok
"2017-11-02 14:59:39 +0000",9512,312,10096,216,619,133,0,0,StandNok
"2017-11-02 14:59:39 +0000",9716,1404,12128,93,-96,181,0,0,StandNok
"2017-11-02 14:59:39 +0000",22320,-456,13008,-302,-604,37,0,0,StandNok
"2017-11-02 14:59:39 +0000",25368,-1304,9496,-133,-249,127,0,0,StandNok
"2017-11-02 14:59:40 +0000",13608,-1400,4252,0,-406,126,0,0,StandNok
"2017-11-02 14:59:40 +0000",12712,-1576,3116,-155,-619,168,0,0,StandNok
"2017-11-02 14:59:40 +0000",17784,-2152,4192,-116,-441,127,0,0,StandNok
"2017-11-02 14:59:40 +0000",18096,-1940,5100,18,-55,219,0,0,StandNok
"2017-11-02 14:59:40 +0000",15252,-1260,3956,1,-123,60,0,0,StandNok
"2017-11-02 14:59:40 +0000",15372,-1592,4168,-21,-89,71,0,0,StandNok
"2017-11-02 14:59:40 +0000",16760,-1704,4868,30,19,20,0,0,StandNok
"2017-11-02 14:59:40 +0000",15936,-1576,4712,5,65,252,0,0,StandNok
"2017-11-02 14:59:40 +0000",15612,-1604,4568,-13,31,0,0,0,StandNok
"2017-11-02 14:59:40 +0000",16240,-1736,4720,4,70,248,0,0,StandNok
"2017-11-02 14:59:41 +0000",16164,-1676,4400,16,123,231,0,0,StandNok
"2017-11-02 14:59:41 +0000",16264,-1544,4424,29,213,231,0,0,StandNok
"2017-11-02 14:59:41 +0000",16392,-1428,4648,45,306,219,0,0,StandNok
"2017-11-02 14:59:41 +0000",16040,-1504,5100,55,392,216,0,0,StandNok
"2017-11-02 14:59:45 +0000",16316,-1676,4344,77,256,23,0,0,StandOk
"2017-11-02 14:59:45 +0000",16576,-1668,4632,111,404,253,0,0,StandOk
"2017-11-02 14:59:45 +0000",16260,-1780,5224,135,596,201,0,0,StandOk
"2017-11-02 14:59:45 +0000",15452,-1532,6052,116,708,188,0,0,StandOk
"2017-11-02 14:59:45 +0000",14524,-1360,7304,78,762,185,0,0,StandOk
"2017-11-02 14:59:45 +0000",13036,-1036,9248,177,736,155,0,0,StandOk
"2017-11-02 14:59:45 +0000",12312,-800,13996,288,656,152,0,0,StandOk
"2017-11-02 14:59:45 +0000",11196,1244,17464,289,591,74,0,0,StandOk
"2017-11-02 14:59:46 +0000",10436,1636,16624,-15,-146,215,0,0,StandOk
"2017-11-02 14:59:46 +0000",12788,1332,15244,-102,-469,1,0,0,StandOk
"2017-11-02 14:59:46 +0000",11260,824,12284,-190,-644,37,0,0,StandOk
"2017-11-02 14:59:46 +0000",10604,-136,9156,-290,-855,77,0,0,StandOk
"2017-11-02 14:59:46 +0000",11004,-316,6596,-220,-877,102,0,0,StandOk
"2017-11-02 14:59:46 +0000",11972,-740,5860,-125,-818,115,0,0,StandOk
"2017-11-02 14:59:46 +0000",13388,-980,4528,-103,-781,159,0,0,StandOk
"2017-11-02 14:59:46 +0000",14960,-1476,4232,-49,-639,176,0,0,StandOk
"2017-11-02 14:59:46 +0000",15848,-1804,3272,-7,-525,150,0,0,StandOk
"2017-11-02 14:59:46 +0000",16836,-2116,2372,-65,-473,138,0,0,StandOk
"2017-11-02 14:59:47 +0000",17056,-1856,1476,-79,-264,4,0,0,StandOk
"2017-11-02 14:59:47 +0000",16820,-2328,1368,-41,-118,199,0,0,StandOk
"2017-11-02 14:59:47 +0000",17192,-2336,1136,11,14,214,0,0,StandOk
"2017-11-02 14:59:47 +0000",16384,-2012,1172,53,117,255,0,0,StandOk
"2017-11-02 14:59:48 +0000",16396,-1932,1748,10,120,255,0,0,StandNok
"2017-11-02 14:59:48 +0000",16532,-1908,1836,-17,278,230,0,0,StandNok
"2017-11-02 14:59:49 +0000",16444,-1712,2220,11,347,238,0,0,StandNok
"2017-11-02 14:59:49 +0000",15308,-1764,2556,79,552,186,0,0,StandNok
"2017-11-02 14:59:49 +0000",14828,-824,4188,110,879,128,0,0,StandNok
"2017-11-02 14:59:49 +0000",11864,-1268,5428,120,969,224,0,0,StandNok
"2017-11-02 14:59:49 +0000",12200,-684,7500,176,974,10,0,0,StandNok
"2017-11-02 14:59:49 +0000",10596,-164,10380,310,799,210,0,0,StandNok
"2017-11-02 14:59:49 +0000",10828,-136,11724,206,295,65,0,0,StandNok
"2017-11-02 14:59:49 +0000",11248,-132,13020,137,-9,143,0,0,StandNok
"2017-11-02 14:59:49 +0000",11236,116,14116,112,-432,161,0,0,StandNok
"2017-11-02 14:59:50 +0000",20952,-1660,9792,-149,-692,120,0,0,StandNok
"2017-11-02 14:59:50 +0000",17984,-1448,6288,115,-434,115,0,0,StandNok
"2017-11-02 14:59:50 +0000",13276,-1928,4904,123,-407,144,0,0,StandNok
"2017-11-02 14:59:50 +0000",14660,-1568,4732,51,-388,138,0,0,StandNok
"2017-11-02 14:59:50 +0000",17164,-1696,5416,152,-161,117,0,0,StandNok
"2017-11-02 14:59:50 +0000",17420,-1772,5744,135,-6,53,0,0,StandNok
"2017-11-02 14:59:50 +0000",15404,-1756,5216,41,-24,17,0,0,StandNok
"2017-11-02 14:59:50 +0000",15752,-1680,5248,14,-134,40,0,0,StandNok
"2017-11-02 14:59:50 +0000",16252,-1932,5384,23,-106,19,0,0,StandNok
"2017-11-02 14:59:50 +0000",15956,-1716,5032,6,-35,239,0,0,StandNok
"2017-11-02 14:59:51 +0000",15684,-1592,5028,-11,-2,248,0,0,StandNok
"2017-11-02 14:59:51 +0000",15876,-1564,5284,-4,34,254,0,0,StandNok
"2017-11-02 14:59:51 +0000",15644,-1412,5316,-1,40,238,0,0,StandNok
"2017-11-02 14:59:51 +0000",15596,-1316,5416,-5,41,235,0,0,StandNok
"2017-11-02 14:59:51 +0000",15720,-1340,5484,-19,53,233,0,0,StandNok
"2017-11-02 14:59:52 +0000",16108,-1300,5272,-12,117,8,0,0,StandOk
"2017-11-02 14:59:52 +0000",16148,-1236,5124,11,261,250,0,0,StandOk
"2017-11-02 14:59:52 +0000",15976,-1312,5668,16,374,225,0,0,StandOk
"2017-11-02 14:59:52 +0000",16008,-1484,6984,-12,432,201,0,0,StandOk
"2017-11-02 14:59:53 +0000",15280,-1636,6244,-56,451,167,0,0,StandOk
"2017-11-02 14:59:53 +0000",14404,-1460,6312,95,648,154,0,0,StandOk
"2017-11-02 14:59:53 +0000",14004,-1668,9124,222,727,170,0,0,StandOk
"2017-11-02 14:59:53 +0000",15536,120,15148,272,699,169,0,0,StandOk
"2017-11-02 14:59:53 +0000",11392,1976,17140,127,588,126,0,0,StandOk
"2017-11-02 14:59:53 +0000",10612,896,15600,-116,-192,239,0,0,StandOk
"2017-11-02 14:59:53 +0000",11892,188,13516,-177,-511,13,0,0,StandOk
"2017-11-02 14:59:53 +0000",10784,-384,10832,-178,-660,47,0,0,StandOk
"2017-11-02 14:59:53 +0000",10012,-352,8460,-186,-829,68,0,0,StandOk
"2017-11-02 14:59:53 +0000",9896,-308,6656,-153,-965,116,0,0,StandOk
"2017-11-02 14:59:54 +0000",12516,-1168,5380,-166,-1031,110,0,0,StandOk
"2017-11-02 14:59:54 +0000",14744,-1348,3960,-130,-834,126,0,0,StandOk
"2017-11-02 14:59:54 +0000",15944,-1852,2536,19,-613,167,0,0,StandOk
"2017-11-02 14:59:54 +0000",16544,-1564,1640,-1,-502,137,0,0,StandOk
"2017-11-02 14:59:54 +0000",17244,-1936,1020,-45,-384,28,0,0,StandOk
"2017-11-02 14:59:54 +0000",16856,-1748,604,-31,-215,226,0,0,StandOk
"2017-11-02 14:59:54 +0000",16916,-1960,660,-19,-86,220,0,0,StandOk
"2017-11-02 14:59:54 +0000",16980,-1824,776,-11,38,229,0,0,StandOk
"2017-11-02 14:59:54 +0000",16532,-1752,844,11,112,2,0,0,StandOk
"2017-11-02 14:59:54 +0000",16588,-1828,1088,50,124,30,0,0,StandOk
"2017-11-02 14:59:55 +0000",16388,-1700,1516,52,121,18,0,0,StandOk
"2017-11-02 14:59:55 +0000",16244,-1584,1500,34,77,242,0,0,StandOk
"2017-11-02 14:59:55 +0000",16360,-1456,1412,47,3,242,0,0,StandOk
"2017-11-02 14:59:56 +0000",16804,-1892,1136,-14,231,27,0,0,StandOk
"2017-11-02 14:59:56 +0000",16452,-2076,1604,-2,402,80,0,0,StandOk
"2017-11-02 14:59:56 +0000",15576,-2052,2420,116,636,78,0,0,StandOk
"2017-11-02 14:59:56 +0000",16696,-1968,5852,220,834,8,0,0,StandOk
"2017-11-02 14:59:56 +0000",14680,-1776,6624,112,366,0,0,0,StandOk
"2017-11-02 14:59:56 +0000",15268,-1564,6012,2,-175,248,0,0,StandOk
"2017-11-02 14:59:56 +0000",15624,-1408,4548,-34,-303,208,0,0,StandOk
"2017-11-02 15:00:01 +0000",17432,-1912,1632,59,252,34,0,0,StandNok
"2017-11-02 15:00:01 +0000",15380,-1456,2356,172,619,32,0,0,StandNok
"2017-11-02 15:00:01 +0000",13480,-1128,4408,304,1048,50,0,0,StandNok
"2017-11-02 15:00:01 +0000",12428,-1480,5840,287,1119,113,0,0,StandNok
"2017-11-02 15:00:01 +0000",11376,-968,7444,189,1140,86,0,0,StandNok
"2017-11-02 15:00:02 +0000",8856,-1508,11100,298,973,237,0,0,StandNok
"2017-11-02 15:00:02 +0000",9012,-340,12664,122,315,178,0,0,StandNok
"2017-11-02 15:00:02 +0000",10216,504,14832,-88,-218,157,0,0,StandNok
"2017-11-02 15:00:02 +0000",16364,-1296,15224,-205,-690,203,0,0,StandNok
"2017-11-02 15:00:02 +0000",19512,-1960,9924,-116,-759,236,0,0,StandNok
"2017-11-02 15:00:02 +0000",16544,-2020,6296,15,-604,253,0,0,StandNok
"2017-11-02 15:00:02 +0000",14080,-1580,4920,-10,-634,69,0,0,StandNok
"2017-11-02 15:00:02 +0000",16472,-1656,4832,-13,-436,100,0,0,StandNok
"2017-11-02 15:00:02 +0000",17168,-1572,4764,-10,-264,91,0,0,StandNok
"2017-11-02 15:00:02 +0000",16512,-1912,4312,-59,-223,135,0,0,StandNok
"2017-11-02 15:00:03 +0000",15792,-2144,3924,-46,-198,160,0,0,StandNok
"2017-11-02 15:00:03 +0000",16352,-2352,3856,4,-144,97,0,0,StandNok
"2017-11-02 15:00:03 +0000",16220,-2256,4044,22,-24,250,0,0,StandNok
"2017-11-02 15:00:03 +0000",15928,-1920,3884,-35,21,245,0,0,StandNok
"2017-11-02 15:00:03 +0000",15980,-2352,4260,-76,40,16,0,0,StandNok
"2017-11-02 15:00:03 +0000",16048,-2332,4264,-58,36,245,0,0,StandNok
"2017-11-02 15:00:03 +0000",15976,-2372,4344,-5,27,249,0,0,StandNok
"2017-11-02 15:00:03 +0000",15924,-2284,4412,49,9,253,0,0,StandNok
"2017-11-02 15:00:03 +0000",15904,-2264,4216,25,14,246,0,0,StandNok
"2017-11-02 15:00:03 +0000",16044,-2160,4240,8,12,246,0,0,StandNok
"2017-11-02 15:00:04 +0000",16052,-2164,4040,-9,18,245,0,0,StandNok
"2017-11-02 15:00:04 +0000",16172,-2128,3980,10,45,246,0,0,StandNok
"2017-11-02 15:00:04 +0000",16088,-2084,3840,27,106,241,0,0,StandNok
"2017-11-02 15:00:04 +0000",16168,-2096,4032,69,189,239,0,0,StandNok
"2017-11-02 15:00:04 +0000",16192,-2016,4448,103,244,246,0,0,StandNok
"2017-11-02 15:00:04 +0000",15920,-1780,5284,89,271,244,0,0,StandNok
"2017-11-02 15:00:04 +0000",15120,-1724,6092,100,242,19,0,0,StandNok
"2017-11-02 15:00:04 +0000",14552,-1668,6404,41,156,29,0,0,StandNok
"2017-11-02 15:00:04 +0000",15016,-1828,6740,75,101,34,0,0,StandNok
"2017-11-02 15:00:04 +0000",15212,-1704,6572,76,63,20,0,0,StandNok
"2017-11-02 15:00:05 +0000",16108,-1952,5076,68,410,210,0,0,StandOk
"2017-11-02 15:00:05 +0000",15848,-1844,5236,166,658,184,0,0,StandOk
"2017-11-02 15:00:05 +0000",14984,-1236,6880,174,849,143,0,0,StandOk
"2017-11-02 15:00:06 +0000",14648,-932,9292,178,692,100,0,0,StandOk
"2017-11-02 15:00:06 +0000",13408,-604,15428,381,806,69,0,0,StandOk
"2017-11-02 15:00:06 +0000",8568,1772,16276,131,457,7,0,0,StandOk
"2017-11-02 15:00:06 +0000",11444,1568,16016,-102,-295,221,0,0,StandOk
"2017-11-02 15:00:06 +0000",14060,1020,15536,-100,-352,1,0,0,StandOk
"2017-11-02 15:00:06 +0000",11408,876,12872,-197,-467,56,0,0,StandOk
"2017-11-02 15:00:06 +0000",9520,184,9408,-239,-648,104,0,0,StandOk
"2017-11-02 15:00:06 +0000",9084,-660,7020,-172,-785,165,0,0,StandOk
"2017-11-02 15:00:06 +0000",10976,-1240,6236,-90,-830,183,0,0,StandOk
"2017-11-02 15:00:06 +0000",14232,-1604,5984,-92,-725,202,0,0,StandOk
"2017-11-02 15:00:07 +0000",14892,-1980,5296,-19,-586,193,0,0,StandOk
"2017-11-02 15:00:07 +0000",15844,-2076,4324,73,-454,128,0,0,StandOk
"2017-11-02 15:00:07 +0000",16840,-1812,3760,68,-209,44,0,0,StandOk
"2017-11-02 15:00:07 +0000",15644,-1872,3588,36,-147,240,0,0,StandOk
"2017-11-02 15:00:07 +0000",16964,-1588,3448,20,-97,229,0,0,StandOk
"2017-11-02 15:00:07 +0000",16112,-1608,3220,29,-6,244,0,0,StandOk
"2017-11-02 15:00:07 +0000",16256,-1868,3440,-18,-4,250,0,0,StandOk
"2017-11-02 15:00:07 +0000",16108,-1952,3280,-12,-5,21,0,0,StandOk
"2017-11-02 15:00:07 +0000",16052,-1856,3160,-2,-23,37,0,0,StandOk
"2017-11-02 15:00:08 +0000",16784,-2212,2044,66,294,59,0,0,StandNok
"2017-11-02 15:00:09 +0000",14252,-2084,2196,105,668,62,0,0,StandNok
"2017-11-02 15:00:09 +0000",14628,-2892,4904,269,1143,90,0,0,StandNok
"2017-11-02 15:00:09 +0000",11300,-1868,6592,342,1070,252,0,0,StandNok
"2017-11-02 15:00:09 +0000",10228,-1244,9064,347,1029,155,0,0,StandNok
"2017-11-02 15:00:09 +0000",9372,136,11388,389,695,242,0,0,StandNok
"2017-11-02 15:00:09 +0000",10664,960,14328,152,95,46,0,0,StandNok
"2017-11-02 15:00:09 +0000",10812,1716,14052,-102,-526,148,0,0,StandNok
"2017-11-02 15:00:09 +0000",20408,-784,9688,-429,-1060,179,0,0,StandNok
"2017-11-02 15:00:09 +0000",19904,-1984,5964,-228,-563,198,0,0,StandNok
"2017-11-02 15:00:09 +0000",14220,-2224,3988,8,-429,161,0,0,StandNok
"2017-11-02 15:00:10 +0000",15336,-2268,3424,-7,-735,189,0,0,StandNok
"2017-11-02 15:00:10 +0000",18080,-2336,3476,16,-420,122,0,0,StandNok
"2017-11-02 15:00:10 +0000",16928,-2340,3140,5,-184,26,0,0,StandNok
"2017-11-02 15:00:10 +0000",16132,-2276,2720,25,-145,50,0,0,StandNok
"2017-11-02 15:00:10 +0000",16716,-2320,2820,-23,-70,59,0,0,StandNok
"2017-11-02 15:00:10 +0000",16820,-2424,2792,-26,11,254,0,0,StandNok
"2017-11-02 15:00:10 +0000",16120,-2276,3020,-19,102,239,0,0,StandNok
"2017-11-02 15:00:10 +0000",16240,-2312,3236,2,141,223,0,0,StandNok
"2017-11-02 15:00:10 +0000",16492,-2160,3604,36,206,226,0,0,StandNok
"2017-11-02 15:00:11 +0000",16312,-2192,3676,48,268,219,0,0,StandNok
"2017-11-02 15:00:11 +0000",16272,-2056,4000,76,357,220,0,0,StandNok
"2017-11-02 15:00:11 +0000",16188,-1952,4504,123,485,215,0,0,StandNok
"2017-11-02 15:00:11 +0000",15792,-1860,5280,141,585,209,0,0,StandNok
"2017-11-02 15:00:12 +0000",14200,-720,10256,108,345,240,0,0,StandOk
"2017-11-02 15:00:12 +0000",13632,-252,15216,158,509,224,0,0,StandOk
"2017-11-02 15:00:12 +0000",11424,1744,19368,104,403,155,0,0,StandOk
"2017-11-02 15:00:12 +0000",9048,1252,17832,-135,-265,164,0,0,StandOk
"2017-11-02 15:00:12 +0000",11160,1120,16080,-185,-588,185,0,0,StandOk
"2017-11-02 15:00:12 +0000",9884,824,13760,-269,-729,9,0,0,StandOk
"2017-11-02 15:00:13 +0000",8604,176,10684,-247,-933,74,0,0,StandOk
"2017-11-02 15:00:13 +0000",8240,-360,7788,-108,-1015,70,0,0,StandOk
"2017-11-02 15:00:13 +0000",9640,-456,5828,-112,-1261,105,0,0,StandOk
"2017-11-02 15:00:13 +0000",14528,-960,4740,-169,-1073,156,0,0,StandOk
"2017-11-02 15:00:13 +0000",15628,-1876,3424,-109,-880,206,0,0,StandOk
"2017-11-02 15:00:13 +0000",17104,-1740,2420,-59,-563,179,0,0,StandOk
"2017-11-02 15:00:13 +0000",16592,-1576,1696,-75,-300,52,0,0,StandOk
"2017-11-02 15:00:13 +0000",16840,-1928,1416,-35,-147,252,0,0,StandOk
"2017-11-02 15:00:13 +0000",16632,-2148,1416,0,-76,18,0,0,StandOk
"2017-11-02 15:00:13 +0000",16676,-2092,1508,22,9,2,0,0,StandOk
"2017-11-02 15:00:14 +0000",16368,-2036,1648,43,38,0,0,0,StandOk
"2017-11-02 15:00:15 +0000",16448,-1948,2376,-39,265,15,0,0,StandNok
"2017-11-02 15:00:15 +0000",14688,-1992,2712,-22,445,22,0,0,StandNok
"2017-11-02 15:00:15 +0000",14480,-2008,4408,111,710,30,0,0,StandNok
"2017-11-02 15:00:16 +0000",12736,-1612,5032,233,845,14,0,0,StandNok
"2017-11-02 15:00:16 +0000",12344,-1204,6696,279,897,234,0,0,StandNok
"2017-11-02 15:00:16 +0000",11612,-1344,9164,268,828,211,0,0,StandNok
"2017-11-02 15:00:16 +0000",10564,300,10872,218,402,125,0,0,StandNok
"2017-11-02 15:00:16 +0000",11144,36,12800,101,52,207,0,0,StandNok
"2017-11-02 15:00:16 +0000",16620,-640,15592,8,-294,226,0,0,StandNok
"2017-11-02 15:00:16 +0000",20432,-1208,9772,-44,-492,251,0,0,StandNok
"2017-11-02 15:00:16 +0000",15800,-536,5896,-23,-507,73,0,0,StandNok
"2017-11-02 15:00:16 +0000",14284,-1452,4760,-193,-569,173,0,0,StandNok
"2017-11-02 15:00:16 +0000",16788,-2188,5180,-57,-398,195,0,0,StandNok
"2017-11-02 15:00:17 +0000",17192,-2232,4684,4,-182,68,0,0,StandNok
"2017-11-02 15:00:17 +0000",16268,-1972,4432,55,-131,22,0,0,StandNok
"2017-11-02 15:00:17 +0000",15828,-1780,4620,39,-105,237,0,0,StandNok
"2017-11-02 15:00:17 +0000",15852,-1624,4728,28,-30,238,0,0,StandNok
"2017-11-02 15:00:17 +0000",15968,-1536,4812,26,45,248,0,0,StandNok
"2017-11-02 15:00:17 +0000",15820,-1548,5012,16,54,1,0,0,StandNok
"2017-11-02 15:00:17 +0000",15668,-1528,5232,29,34,15,0,0,StandNok
"2017-11-02 15:00:17 +0000",15548,-1420,5208,12,23,4,0,0,StandNok
"2017-11-02 15:00:17 +0000",15692,-1532,5212,-4,14,4,0,0,StandNok
"2017-11-02 15:00:18 +0000",15716,-1560,5244,13,12,3,0,0,StandNok
"2017-11-02 15:00:18 +0000",15764,-1508,5088,27,4,15,0,0,StandNok
"2017-11-02 15:00:18 +0000",15792,-1564,5144,20,-12,18,0,0,StandNok
"2017-11-02 15:00:18 +0000",15880,-1680,4952,5,-21,19,0,0,StandNok
"2017-11-02 15:00:18 +0000",15992,-1616,4696,-2,-3,32,0,0,StandNok
"2017-11-02 15:00:18 +0000",15984,-1724,4788,4,-10,33,0,0,StandNok
"2017-11-02 15:00:18 +0000",15700,-1844,4808,3,10,29,0,0,StandNok
"2017-11-02 15:00:18 +0000",15800,-1788,4668,17,44,27,0,0,StandNok
"2017-11-02 15:00:18 +0000",15912,-1720,4812,12,83,7,0,0,StandNok
"2017-11-02 15:00:18 +0000",15960,-1884,5104,31,107,0,0,0,StandNok
"2017-11-02 15:00:19 +0000",15536,-1804,5340,76,77,19,0,0,StandNok
"2017-11-02 15:00:19 +0000",15472,-1684,5428,82,40,27,0,0,StandNok
"2017-11-02 15:00:19 +0000",15644,-1728,5436,66,78,16,0,0,StandNok
"2017-11-02 15:00:19 +0000",15628,-1528,5696,24,91,251,0,0,StandNok
"2017-11-02 15:00:19 +0000",15412,-1688,5812,8,31,3,0,0,StandNok
"2017-11-02 15:00:19 +0000",15376,-1784,5732,10,-5,13,0,0,StandNok
"2017-11-02 15:00:19 +0000",15520,-1616,5568,23,-4,25,0,0,StandNok
"2017-11-02 15:00:19 +0000",15564,-1600,5552,29,-4,22,0,0,StandNok
"2017-11-02 15:00:19 +0000",15696,-1596,5428,17,-2,20,0,0,StandNok
"2017-11-02 15:00:20 +0000",15644,-1684,5356,-4,10,6,0,0,StandNok
