2017-10-15 15:57:29 +0000,16544,-676,-1512,23,15,3,0,1
2017-10-15 15:57:29 +0000,16472,-652,-1464,12,14,1,0,1
2017-10-15 15:57:29 +0000,16548,-768,-1332,15,12,0,0,1
2017-10-15 15:57:30 +0000,16444,-612,-1420,24,10,255,0,1
2017-10-15 15:57:30 +0000,16504,-736,-1364,21,16,2,0,1
2017-10-15 15:57:30 +0000,16524,-716,-1396,16,12,254,0,1
2017-10-15 15:57:30 +0000,16432,-712,-1388,20,18,3,0,1
2017-10-15 15:57:30 +0000,16480,-716,-1392,18,6,4,0,1
2017-10-15 15:57:30 +0000,16484,-652,-1564,23,6,0,0,1
2017-10-15 15:57:30 +0000,16496,-736,-1496,20,2,254,0,1
2017-10-15 15:57:30 +0000,16424,-760,-1424,18,3,2,0,1
2017-10-15 15:57:30 +0000,16576,-660,-1544,24,8,1,0,1
2017-10-15 15:57:30 +0000,16448,-780,-1476,20,7,6,0,1
2017-10-15 15:57:31 +0000,16336,-776,-1648,27,5,253,0,1
2017-10-15 15:57:31 +0000,16496,-704,-1612,25,17,252,0,1
2017-10-15 15:57:31 +0000,16472,-720,-1636,19,14,0,0,1
2017-10-15 15:57:31 +0000,16468,-636,-1516,19,19,253,0,1
2017-10-15 15:57:31 +0000,16452,-704,-1488,22,23,1,0,1
2017-10-15 15:57:31 +0000,16460,-700,-1484,25,24,3,0,1
2017-10-15 15:57:31 +0000,16480,-732,-1496,27,24,3,0,1
2017-10-15 15:57:31 +0000,16484,-684,-1356,18,26,5,0,1
2017-10-15 15:57:31 +0000,16584,-844,-1336,28,24,251,0,1
2017-10-15 15:57:32 +0000,16444,-868,-1412,21,20,251,0,1
2017-10-15 15:57:32 +0000,16480,-680,-1404,21,9,249,0,1
2017-10-15 15:57:32 +0000,16472,-564,-1440,23,11,0,0,1
2017-10-15 15:57:32 +0000,16496,-656,-1560,13,10,255,0,1
2017-10-15 15:57:32 +0000,16524,-664,-1392,16,9,252,0,1
2017-10-15 15:57:32 +0000,16436,-704,-1340,10,22,253,0,1
2017-10-15 15:57:32 +0000,16540,-604,-1504,32,27,239,0,1
2017-10-15 15:57:32 +0000,16572,-620,-1492,28,18,246,0,1
2017-10-15 15:57:32 +0000,16408,-672,-1240,19,25,4,0,1
2017-10-15 15:57:32 +0000,16488,-564,-1284,25,16,1,0,1
2017-10-15 15:57:33 +0000,16464,-548,-1348,27,14,254,0,1
2017-10-15 15:57:33 +0000,16504,-584,-1400,10,11,11,0,1
2017-10-15 15:57:33 +0000,16468,-680,-1372,14,9,11,0,1
2017-10-15 15:57:33 +0000,16536,-604,-1492,29,22,7,0,1
2017-10-15 15:57:33 +0000,16704,-616,-1240,29,112,14,0,1
2017-10-15 15:57:33 +0000,16304,-652,-844,5,23,5,0,1
2017-10-15 15:57:33 +0000,16344,-652,-776,-12,56,13,0,1
2017-10-15 15:57:33 +0000,16592,-772,-1032,17,48,8,0,1
2017-10-15 15:57:33 +0000,16424,-692,-1236,36,11,3,0,1
2017-10-15 15:57:34 +0000,16576,-740,-868,22,22,243,0,1
2017-10-15 15:57:34 +0000,16464,-612,-692,20,-1,226,0,1
2017-10-15 15:57:34 +0000,16444,-724,-1068,22,9,235,0,1
2017-10-15 15:57:34 +0000,16416,-524,-896,21,-12,235,0,1
2017-10-15 15:57:34 +0000,16416,-500,-1008,8,-57,225,0,1
2017-10-15 15:57:34 +0000,16312,-560,-1428,-10,-65,210,0,1
2017-10-15 15:57:34 +0000,16588,-628,-1532,50,-24,178,0,1
2017-10-15 15:57:34 +0000,16308,-356,-1676,149,7,234,0,1
2017-10-15 15:57:34 +0000,16576,572,-1388,130,3,22,0,1
2017-10-15 15:57:34 +0000,16512,64,-1440,-19,4,251,0,1
2017-10-15 15:57:35 +0000,16536,-212,-1512,-54,-17,255,0,1
2017-10-15 15:57:35 +0000,16432,-300,-1648,9,17,15,0,1
2017-10-15 15:57:35 +0000,16484,-360,-1300,24,15,11,0,1
2017-10-15 15:57:35 +0000,16492,-256,-1468,16,11,13,0,1
2017-10-15 15:57:35 +0000,16400,-260,-1380,17,21,11,0,1
2017-10-15 15:57:35 +0000,16472,-196,-1540,11,12,8,0,1
2017-10-15 15:57:35 +0000,16436,-372,-1408,17,21,12,0,1
2017-10-15 15:57:35 +0000,16556,-332,-1496,15,15,15,0,1
2017-10-15 15:57:35 +0000,16524,-432,-1372,2,13,14,0,1
2017-10-15 15:57:35 +0000,16480,-460,-1416,15,11,6,0,1
2017-10-15 15:57:36 +0000,16492,-516,-1504,19,21,9,0,1
2017-10-15 15:57:36 +0000,16368,-372,-1272,28,35,7,0,1
2017-10-15 15:57:36 +0000,16436,-444,-1360,38,53,1,0,1
2017-10-15 15:57:36 +0000,16516,-468,-1280,72,44,0,0,1
2017-10-15 15:57:36 +0000,16528,-308,-1296,50,20,2,0,1
2017-10-15 15:57:36 +0000,16496,-388,-1284,8,21,7,0,1
2017-10-15 15:57:36 +0000,16364,-520,-1260,21,18,11,0,1
2017-10-15 15:57:36 +0000,16616,-248,-1340,26,25,37,0,1
2017-10-15 15:57:36 +0000,16336,-612,-1320,-14,27,31,0,1
2017-10-15 15:57:37 +0000,16472,-648,-1148,-20,13,11,0,1
2017-10-15 15:57:37 +0000,16364,-472,-1048,33,1,40,0,1
2017-10-15 15:57:37 +0000,16472,-492,-1168,-5,-5,29,0,1
2017-10-15 15:57:37 +0000,16448,-660,-1400,-15,-9,250,0,1
2017-10-15 15:57:37 +0000,16544,-656,-1304,7,-21,5,0,1
2017-10-15 15:57:37 +0000,16332,-852,-1512,-15,10,0,0,1
2017-10-15 15:57:37 +0000,16500,-840,-1444,13,19,247,0,1
2017-10-15 15:57:37 +0000,16460,-776,-1392,68,24,251,0,1
2017-10-15 15:57:37 +0000,16560,-600,-1412,66,30,4,0,1
2017-10-15 15:57:37 +0000,16488,-512,-1324,34,26,8,0,1
2017-10-15 15:57:38 +0000,16464,-604,-1460,5,5,8,0,1
2017-10-15 15:57:38 +0000,16448,-732,-1304,1,8,10,0,1
2017-10-15 15:57:38 +0000,16700,-1036,-1392,20,35,2,0,1
2017-10-15 15:57:38 +0000,16452,-776,-1364,63,8,19,0,1
2017-10-15 15:57:38 +0000,16376,-508,-1216,48,10,7,0,1
2017-10-15 15:57:38 +0000,16528,-760,-1332,-10,9,0,0,1
2017-10-15 15:57:38 +0000,16588,-780,-1448,11,18,244,0,1
2017-10-15 15:57:38 +0000,16484,-500,-1380,-24,5,10,0,1
2017-10-15 15:57:38 +0000,16492,-784,-1412,-44,9,15,0,1
2017-10-15 15:57:39 +0000,16480,-920,-1320,13,9,1,0,1
2017-10-15 15:57:39 +0000,16460,-800,-1280,76,19,252,0,1
2017-10-15 15:57:39 +0000,16360,-712,-1336,58,34,4,0,1
2017-10-15 15:57:39 +0000,16436,-720,-1344,31,35,3,0,1
2017-10-15 15:57:39 +0000,16560,-784,-1384,11,24,255,0,1
2017-10-15 15:57:39 +0000,16340,-804,-1380,19,23,252,0,1
2017-10-15 15:57:39 +0000,16528,-772,-1140,38,30,249,0,1
2017-10-15 15:57:39 +0000,16384,-724,-1104,26,31,4,0,1
2017-10-15 15:57:39 +0000,16496,-720,-1152,16,24,3,0,1
2017-10-15 15:57:39 +0000,16452,-676,-1144,8,18,10,0,1
2017-10-15 15:57:40 +0000,16464,-768,-1216,14,20,8,0,1
